#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00001	1084	956	Xu	sp|P03041|RPC1_BPP22 Transcriptional activator protein C1
VOG00002	194	16	Xh	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122
VOG00003	1183	918	Xr	sp|O22001|VXIS_BPMD2 Excisionase
VOG00004	347	299	Xu	sp|P03795|Y28_BPT7 Protein 2.8
VOG00005	94	37	Xu	REFSEQ hypothetical protein
VOG00006	111	102	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00007	74	3	Xh	sp|Q5UQJ2|YR863_MIMIV Putative ankyrin repeat protein R863
VOG00008	184	180	XhXp	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit
VOG00009	46	29	Xh	sp|Q6QGE6|ENDO2_BPT5 Putative endonuclease
VOG00010	634	631	Xu	REFSEQ HK97 gp10 family protein
VOG00011	100	95	Xu	REFSEQ hypothetical protein
VOG00012	203	29	Xu	REFSEQ hypothetical protein
VOG00013	655	655	Xu	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)
VOG00014	1446	1377	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG00015	42	40	XpXs	sp|P07067|FIB37_BPT2 Long tail fiber protein p37
VOG00016	46	10	Xu	sp|Q91FL1|313L_IIV6 Putative KilA-N domain-containing protein 313L
VOG00017	167	143	Xu	REFSEQ hypothetical protein
VOG00018	1203	1146	XhXr	sp|P22877|INTR_SACER Integrase
VOG00019	44	28	Xu	sp|Q5UPC5|YR047_MIMIV Uncharacterized protein R47
VOG00020	196	191	Xu	sp|Q6QGG9|D5_BPT5 Putative transcription factor D5
VOG00021	76	34	Xu	REFSEQ hypothetical protein
VOG00022	111	53	Xu	REFSEQ hypothetical protein
VOG00023	118	71	Xh	sp|Q32PI1|VRK1_BOVIN Serine/threonine-protein kinase VRK1
VOG00024	636	168	Xu	sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region
VOG00025	31	28	Xu	REFSEQ hypothetical protein
VOG00026	31	11	Xu	REFSEQ hypothetical protein
VOG00027	374	373	XhXs	sp|O64333|TIPK_BPN15 Tail tip assembly protein K
VOG00028	36	36	XhXs	sp|P68692|GLRX1_VACCW Glutaredoxin-1
VOG00029	411	403	XhXs	sp|Q6QGE9|BPPB3_BPT5 Probable baseplate hub protein
VOG00030	56	46	Xu	REFSEQ hypothetical protein
VOG00031	1165	396	XhXpXrXs	sp|P13333|TUBE_BPT4 Tail tube protein gp19
VOG00032	47	46	XhXr	sp|P00581|DPOL_BPT7 DNA-directed DNA polymerase
VOG00033	38	38	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00034	204	162	Xu	REFSEQ hypothetical protein
VOG00035	77	71	Xu	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region
VOG00036	31	31	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00037	211	95	Xu	REFSEQ hypothetical protein
VOG00038	29	4	Xs	sp|F5H8S6|US24_HCMVM Tegument protein US24
VOG00039	1166	1165	XpXrXs	sp|Q05220|PORTL_BPML5 Portal protein
VOG00040	234	69	Xh	sp|B1XLW1|Y2658_SYNP2 PKHD-type hydroxylase SYNPCC7002_A2658
VOG00041	57	37	Xu	REFSEQ hypothetical protein
VOG00042	103	26	Xu	REFSEQ putative virion structural protein
VOG00043	182	176	XhXs	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132
VOG00044	142	88	Xr	sp|P54992|YSNA_STRPR Putative transposase in snaA-snaB intergenic region
VOG00045	673	646	Xu	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
VOG00046	1127	780	Xu	sp|Q05241|VG32_BPML5 Gene 32 protein
VOG00047	42	40	Xu	REFSEQ hypothetical protein
VOG00048	66	54	Xu	REFSEQ hypothetical protein
VOG00049	56	55	Xs	sp|P85991|IGLVP_BPSK9 Ig-like virion protein
VOG00050	101	67	Xu	sp|P03049|RMNT_BPP22 Regulatory protein mnt
VOG00051	20	18	Xu	REFSEQ hypothetical protein
VOG00052	315	238	Xh	sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor
VOG00053	1496	1231	Xh	sp|P00276|GLRX_BPT4 Glutaredoxin
VOG00054	288	284	XpXrXs	sp|O48446|HCP16_BPSPP Head completion protein gp16
VOG00055	302	285	Xu	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI
VOG00056	70	13	Xu	REFSEQ hypothetical protein
VOG00057	63	63	Xu	REFSEQ hypothetical protein
VOG00058	21	21	XhXpXs	sp|P51735|FIB31_BPHC1 Probable tail fiber protein
VOG00059	222	198	Xu	REFSEQ hypothetical protein
VOG00060	235	235	Xu	REFSEQ hypothetical protein
VOG00061	173	166	Xu	REFSEQ hypothetical protein
VOG00062	190	186	Xh	sp|Q74HC3|DGK1_LACJO Deoxyadenosine kinase
VOG00063	409	395	Xu	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479
VOG00064	273	272	XhXs	sp|Q6QGD9|HCP_BPT5 Head completion protein
VOG00065	358	358	XhXpXrXs	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16
VOG00066	185	183	XhXr	sp|P9WNU1|DPO3B_MYCTU Beta sliding clamp
VOG00067	67	61	Xu	REFSEQ hypothetical protein
VOG00068	75	72	Xu	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region
VOG00069	63	32	Xu	REFSEQ hypothetical protein
VOG00070	54	51	Xu	REFSEQ hypothetical protein
VOG00071	147	142	Xu	sp|P20319|V55_BPT3 Gene 5.5 protein
VOG00072	872	866	Xh	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase
VOG00073	934	917	XhXpXrXs	sp|Q6QGD5|PORTL_BPT5 Portal protein
VOG00074	20	20	Xh	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase
VOG00075	199	197	Xu	REFSEQ head-tail connector protein
VOG00076	94	87	Xu	REFSEQ hypothetical protein
VOG00077	330	327	Xu	REFSEQ hypothetical protein
VOG00078	205	205	Xu	REFSEQ holin
VOG00079	17	16	Xu	REFSEQ hypothetical protein
VOG00080	31	31	Xu	REFSEQ hypothetical protein
VOG00081	156	156	Xu	REFSEQ hypothetical protein
VOG00082	159	157	Xu	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP
VOG00083	47	41	Xu	REFSEQ hypothetical protein
VOG00084	430	410	XpXrXs	sp|P13332|TSP_BPT4 Tail sheath protein
VOG00085	21	21	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00086	67	65	Xu	REFSEQ hypothetical protein
VOG00087	99	58	Xh	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335
VOG00088	94	86	Xu	REFSEQ hypothetical protein
VOG00089	17	16	XhXs	sp|B0FIH7|FIB11_BPE32 Probable tail fiber protein
VOG00090	24	6	Xu	REFSEQ hypothetical protein
VOG00091	48	42	Xu	REFSEQ hypothetical protein
VOG00092	52	52	Xu	REFSEQ lysin A
VOG00093	167	167	Xu	sp|P39251|Y16Q_BPT4 Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region
VOG00094	111	105	Xu	REFSEQ hypothetical protein
VOG00095	27	15	Xu	REFSEQ hypothetical protein
VOG00096	98	89	XhXp	sp|P07693|ADOM_BPT3 S-adenosyl-L-methionine hydrolase
VOG00097	39	33	Xh	sp|Q7ZV60|BCS1_DANRE Mitochondrial chaperone BCS1
VOG00098	756	751	XhXp	sp|P04522|EXO2_BPT4 Exonuclease subunit 2
VOG00099	872	806	XhXp	sp|P06855|KIPN_BPT4 Polynucleotide kinase
VOG00100	228	213	Xu	REFSEQ hypothetical protein
VOG00101	211	194	Xu	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
VOG00102	127	126	Xu	REFSEQ hypothetical protein
VOG00103	23	21	Xs	sp|O64314|TMP_BPP2 Probable tape measure protein
VOG00104	106	106	XhXp	sp|P03040|RCRO_LAMBD Regulatory protein cro
VOG00105	93	93	Xu	REFSEQ hypothetical protein
VOG00106	1192	1137	XhXr	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha
VOG00107	1431	395	Xu	REFSEQ hypothetical protein
VOG00108	23	23	Xh	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI
VOG00109	42	42	Xu	REFSEQ hypothetical protein
VOG00110	1087	1080	Xs	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
VOG00111	701	338	Xh	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit
VOG00112	77	56	Xu	REFSEQ hypothetical protein
VOG00113	874	872	XhXr	sp|P00970|DNLI_BPT4 DNA ligase
VOG00114	27	8	Xu	REFSEQ hypothetical protein
VOG00115	99	85	Xu	REFSEQ hypothetical protein
VOG00116	225	224	Xu	REFSEQ hypothetical protein
VOG00117	31	31	Xu	REFSEQ hypothetical protein
VOG00118	130	99	Xu	REFSEQ hypothetical protein
VOG00119	224	144	Xu	sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region
VOG00120	234	79	Xu	REFSEQ hypothetical protein
VOG00121	78	70	Xu	REFSEQ hypothetical protein
VOG00122	67	65	Xu	REFSEQ hypothetical protein
VOG00123	217	217	XpXrXs	sp|P03724|GP14_BPT7 Internal virion protein gp14
VOG00124	21	21	Xu	REFSEQ esterase
VOG00125	43	38	Xu	REFSEQ hypothetical protein
VOG00126	269	268	Xu	REFSEQ head-to-tail stopper
VOG00127	1482	878	XrXs	sp|O64219|TAP25_BPMD2 Tail assembly protein Gp25
VOG00128	565	564	Xu	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
VOG00129	242	237	Xu	REFSEQ hypothetical protein
VOG00130	2062	2039	XhXr	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase
VOG00131	859	646	Xr	sp|P00471|TYSY_BPT4 Thymidylate synthase
VOG00132	712	711	Xu	sp|O64216|VG22_BPMD2 Gene 22 protein
VOG00133	722	710	Xu	sp|P15075|HDNUC_BPT4 Head completion nuclease
VOG00134	93	89	Xu	REFSEQ hypothetical protein
VOG00135	542	447	XhXp	sp|P34877|MTSA_LACLC Modification methylase ScrFIA
VOG00136	16	14	Xu	REFSEQ hypothetical protein
VOG00137	200	199	Xu	REFSEQ DUF3987 domain-containing protein
VOG00138	579	371	XhXs	sp|P17173|TAP51_BPT4 Baseplate hub assembly protein gp51
VOG00139	20	20	Xu	REFSEQ hypothetical protein
VOG00140	65	65	Xu	REFSEQ hypothetical protein
VOG00141	53	52	Xu	sp|O31951|YONG_BACSU SPbeta prophage-derived uncharacterized protein YonG
VOG00142	17	16	Xu	REFSEQ helix-turn-helix domain-containing protein
VOG00143	47	43	Xh	sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2
VOG00144	58	58	Xh	sp|O63852|MSHM_SARGL Mitochondrial DNA mismatch repair protein mutS homolog
VOG00145	132	132	Xu	REFSEQ hypothetical protein
VOG00146	22	22	Xu	REFSEQ HNH endonuclease
VOG00147	30	29	Xu	REFSEQ hypothetical protein
VOG00148	32	30	Xu	REFSEQ hypothetical protein
VOG00149	15	15	Xu	REFSEQ hypothetical protein
VOG00150	46	46	Xu	REFSEQ hypothetical protein
VOG00151	49	45	Xu	REFSEQ hypothetical protein
VOG00152	167	93	Xu	REFSEQ hypothetical protein
VOG00153	141	141	Xu	REFSEQ hypothetical protein
VOG00154	23	23	Xu	REFSEQ hypothetical protein
VOG00155	89	89	Xu	REFSEQ hypothetical protein
VOG00156	30	13	Xu	REFSEQ hypothetical protein
VOG00157	18	3	Xu	REFSEQ hypothetical protein
VOG00158	17	3	Xu	REFSEQ hypothetical protein
VOG00159	17	15	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00160	424	419	Xu	sp|Q05286|VG71_BPML5 Repressor-like immunity protein
VOG00161	54	54	XhXr	sp|P25479|VPP_BPP2 Terminase, ATPase subunit
VOG00162	49	49	Xu	REFSEQ hypothetical protein
VOG00163	305	282	XhXpXr	sp|P12427|DMA_BPT2 DNA adenine methylase
VOG00164	133	71	Xu	REFSEQ hypothetical protein
VOG00165	110	110	Xu	REFSEQ hypothetical protein
VOG00166	23	23	Xu	REFSEQ hypothetical protein
VOG00167	171	170	Xu	REFSEQ hypothetical protein
VOG00168	34	31	Xu	REFSEQ hypothetical protein
VOG00169	28	28	Xu	REFSEQ hypothetical protein
VOG00170	245	235	Xu	REFSEQ hypothetical protein
VOG00171	470	467	Xh	sp|P04382|DYR_BPT4 Dihydrofolate reductase
VOG00172	149	142	XhXr	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB
VOG00173	76	76	Xu	REFSEQ lytic transglycosylase domain-containing protein
VOG00174	125	124	Xu	REFSEQ hypothetical protein
VOG00175	48	20	Xu	REFSEQ hypothetical protein
VOG00176	99	99	Xu	REFSEQ hypothetical protein
VOG00177	152	152	Xu	REFSEQ DUF3168 domain-containing protein
VOG00178	60	60	Xu	REFSEQ hypothetical protein
VOG00179	24	24	Xu	sp|O64206|VG13_BPMD2 Gene 13 protein
VOG00180	62	61	Xu	REFSEQ hypothetical protein
VOG00181	381	375	Xs	sp|P11110|NECK1_BPT4 Neck protein gp13
